u, t, f(u), f(t)
14/75, 61/47, 326227/421875, 520575/103823
14/79, 65/51, 391119/493039, 605851/132651
14/81, 67/53, 426385/531441, 651645/148877
14/83, 69/55, 463595/571787, 699607/166375
14/85, 71/57, 502797/614125, 749785/185193
14/87, 73/59, 544039/658503, 802227/205379
14/89, 75/61, 587369/704969, 856981/226981
14/93, 79/65, 680485/804357, 973617/274625
14/95, 81/67, 730367/857375, 1035595/300763
14/97, 83/69, 782529/912673, 1100077/328509
14/99, 85/71, 837019/970299, 1167111/357911
14/101, 87/73, 893885/1030301, 1236745/389017
14/103, 89/75, 953175/1092727, 1309027/421875
14/107, 93/79, 1079219/1225043, 1461727/493039
14/109, 95/81, 1146069/1295029, 1542241/531441
14/111, 97/83, 1215535/1367631, 1625595/571787
14/113, 99/85, 1287665/1442897, 1711837/614125
14/115, 101/87, 1362507/1520875, 1801015/658503
14/117, 103/89, 1440109/1601613, 1893177/704969
14/121, 107/93, 1603785/1771561, 2086645/804357
14/123, 109/95, 1689955/1860867, 2188047/857375
14/125, 111/97, 1779077/1953125, 2292625/912673
14/127, 113/99, 1871199/2048383, 2400427/970299
14/129, 115/101, 1966369/2146689, 2511501/1030301
14/131, 117/103, 2064635/2248091, 2625895/1092727
14/135, 121/107, 2270647/2460375, 2864835/1225043
14/137, 123/109, 2378489/2571353, 2989477/1295029
14/139, 125/111, 2489619/2685619, 3117631/1367631
14/141, 127/113, 2604085/2803221, 3249345/1442897
14/143, 129/115, 2721935/2924207, 3384667/1520875
14/145, 131/117, 2843217/3048625, 3523645/1601613
14/149, 135/121, 3096269/3307949, 3812761/1771561
14/151, 137/123, 3228135/3442951, 3962995/1860867
14/153, 139/125, 3363625/3581577, 4117077/1953125
14/155, 141/127, 3502787/3723875, 4275055/2048383
14/157, 143/129, 3645669/3869893, 4436977/2146689
14/159, 145/131, 3792319/4019679, 4602891/2248091
14/163, 149/135, 4097115/4330747, 4946887/2460375
14/165, 151/137, 4255357/4492125, 5125065/2571353
14/167, 153/139, 4417559/4657463, 5307427/2685619
14/169, 155/141, 4583769/4826809, 5494021/2803221
14/171, 157/143, 4754035/5000211, 5684895/2924207
14/173, 159/145, 4928405/5177717, 5880097/3048625
14/177, 163/149, 5289649/5545233, 6283677/3307949
14/179, 165/151, 5476619/5735339, 6492151/3442951
14/181, 167/153, 5667885/5929741, 6705145/3581577
14/183, 169/155, 5863495/6128487, 6922707/3723875
14/183, 182/183, 5863495/6128487, 5863495/6128487
14/185, 171/157, 6063497/6331625, 7144885/3869893
14/187, 173/159, 6267939/6539203, 7371727/4019679
14/191, 177/163, 6690335/6967871, 7839595/4330747
14/193, 179/165, 6908385/7189057, 8080717/4492125
14/195, 181/167, 7131067/7414875, 8326695/4657463
14/197, 183/169, 7358429/7645373, 8577577/4826809
14/199, 185/171, 7590519/7880599, 8833411/5000211
15/16, 19/164, 287/512, 499023/551368
15/16, 31/126, 287/512, 158752/250047
15/16, 95/64, 287/512, 312543/32768
15/16, 97/112, 287/512, 34481/175616
15/16, 145/126, 287/512, 649522/250047
15/19, 25/31, -341/6859, -209/29791
15/19, 41/81, -341/6859, -6479/531441
15/19, 47/62, -341/6859, -3344/29791
15/31, 16, 991/29791, 30721
15/32, 17/2, 271/4096, 4336
15/34, 19/4, 638/4913, 5423/8
15/34, 59/68, 638/4913, 7975/39304
15/37, 22/7, 11053/50653, 58423/343
15/38, 23/8, 1684/6859, 7999/64
15/41, 26/11, 22121/68921, 82451/1331
15/43, 28/13, 29107/79507, 96277/2197
15/44, 15/154, 4123/10648, 425258/456533
15/44, 29/14, 4123/10648, 12958/343
15/44, 139/124, 4123/10648, 528143/238328
15/46, 31/16, 5192/12167, 14927/512
15/47, 32/17, 46223/103823, 127793/4913
15/49, 34/19, 56449/117649, 145579/6859
15/52, 37/22, 9251/17576, 21866/1331
15/53, 38/23, 80477/148877, 185447/12167
15/56, 41/26, 12727/21952, 27412/2197
15/58, 43/28, 14714/24389, 30479/2744
15/59, 44/29, 126179/205379, 256709/24389
15/61, 46/31, 144181/226981, 283711/29791
15/62, 47/32, 19216/29791, 37231/4096
15/64, 49/34, 21743/32768, 40928/4913
15/67, 52/37, 207163/300763, 375133/50653
15/68, 53/38, 27379/39304, 48994/6859
15/71, 56/41, 257111/357911, 445241/68921
15/73, 58/43, 284617/389017, 483187/79507
15/74, 59/44, 37378/50653, 62863/10648
15/76, 61/46, 41147/54872, 67982/12167
15/77, 62/47, 344933/456533, 565103/103823
15/79, 64/49, 377839/493039, 609169/117649
15/82, 67/52, 53846/68921, 84911/17576
15/83, 68/53, 449387/571787, 703757/148877
15/86, 71/56, 63532/79507, 97567/21952
15/88, 73/58, 68759/85184, 104324/24389
15/89, 74/59, 571769/704969, 862499/205379
15/91, 76/61, 616771/753571, 920101/226981
15/92, 77/62, 80011/97336, 118726/29791
15/94, 79/64, 86048/103823, 126383/32768
15/97, 82/67, 765073/912673, 1107643/300763
15/98, 83/68, 98974/117649, 142639/39304
15/101, 86/71, 875501/1030301, 1245431/357911
15/103, 88/73, 934327/1092727, 1318297/389017
15/104, 89/74, 120583/140608, 169468/50653
15/106, 91/76, 128402/148877, 179087/54872
15/107, 92/77, 1059443/1225043, 1472213/456533
15/109, 94/79, 1125829/1295029, 1553359/493039
15/112, 97/82, 153791/175616, 210056/68921
15/113, 98/83, 1266497/1442897, 1724267/571787
15/116, 101/86, 172387/195112, 232522/79507
15/118, 103/88, 182204/205379, 244319/85184
15/119, 104/89, 1497959/1685159, 2002889/704969
15/121, 106/91, 1580761/1771561, 2101891/753571
15/122, 107/92, 202906/226981, 269071/97336
15/124, 109/94, 213803/238328, 282038/103823
15/127, 112/97, 1846783/2048383, 2417953/912673
15/128, 113/98, 236719/262144, 309184/117649
15/131, 116/101, 2039291/2248091, 2645021/1030301
15/133, 118/103, 2140237/2352637, 2763607/1092727
15/134, 119/104, 273988/300763, 353023/140608
15/136, 121/106, 287207/314432, 368492/148877
15/137, 122/107, 2351753/2571353, 3011123/1225043
15/139, 124/109, 2462419/2685619, 3140149/1295029
15/142, 127/112, 329336/357911, 417551/175616
15/143, 128/113, 2693807/2924207, 3408977/1442897
15/146, 131/116, 359542/389017, 452527/195112
15/148, 133/118, 375299/405224, 470714/205379
15/149, 134/119, 3066749/3307949, 3839879/1685159
15/151, 136/121, 3198151/3442951, 3991081/1771561
15/152, 137/122, 408151/438976, 508516/226981
15/154, 29/14, 425258/456533, 12958/343
15/154, 139/124, 425258/456533, 528143/238328
15/157, 142/127, 3614293/3869893, 4468063/2048383
15/158, 143/128, 460864/493039, 568879/262144
15/161, 146/131, 3910481/4173281, 4806011/2248091
15/163, 148/133, 4064347/4330747, 4981117/2352637
15/164, 149/134, 517843/551368, 633778/300763
15/166, 151/136, 537812/571787, 656447/314432
15/167, 152/137, 4383863/4657463, 5343833/2571353
15/169, 154/139, 4549609/4826809, 5531539/2685619
15/172, 157/142, 600731/636056, 727646/357911
15/173, 158/143, 4893317/5177717, 5919887/2924207
15/176, 161/146, 645247/681472, 777832/389017
15/178, 163/148, 668294/704969, 803759/405224
15/179, 164/149, 5440139/5735339, 6535469/3307949
15/181, 166/151, 5630941/5929741, 6749671/3442951
15/182, 167/152, 715996/753571, 857311/438976
15/184, 169/154, 740663/778688, 884948/456533
15/187, 172/157, 6229603/6539203, 7419973/3869893
15/188, 173/158, 791659/830584, 941974/493039
15/191, 176/161, 6651071/6967871, 7890401/4173281
15/193, 178/163, 6868657/7189057, 8132827/4330747
15/194, 179/164, 872398/912673, 1031983/551368
15/196, 181/166, 900467/941192, 1063202/571787
15/197, 182/167, 7317773/7645373, 8632343/4657463
15/199, 184/169, 7549399/7880599, 8889529/4826809
16/11, 20/21, 11571/1331, 6061/9261
16/11, 25/29, 11571/1331, 4389/24389
16/33, 17, 1121/35937, 36993
16/35, 19/3, 3963/42875, 46235/27
16/37, 21/5, 7645/50653, 56573/125
16/39, 23/7, 12215/59319, 68055/343
16/41, 25/9, 17721/68921, 80729/729
16/43, 27/11, 24211/79507, 94643/1331
16/45, 29/13, 31733/91125, 109845/2197
16/47, 31/15, 40335/103823, 126383/3375
16/49, 33/17, 50065/117649, 144305/4913
16/51, 35/19, 60971/132651, 163659/6859
16/53, 37/21, 73101/148877, 184493/9261
16/55, 39/23, 86503/166375, 206855/12167
16/57, 41/25, 101225/185193, 230793/15625
16/59, 43/27, 117315/205379, 256355/19683
16/61, 45/29, 134821/226981, 283589/24389
16/63, 47/31, 153791/250047, 312543/29791
16/65, 49/33, 174273/274625, 343265/35937
16/67, 51/35, 196315/300763, 375803/42875
16/69, 53/37, 219965/328509, 410205/50653
16/71, 55/39, 245271/357911, 446519/59319
16/73, 57/41, 272281/389017, 484793/68921
16/75, 59/43, 301043/421875, 525075/79507
16/77, 61/45, 331605/456533, 567413/91125
16/79, 63/47, 364015/493039, 611855/103823
16/81, 65/49, 398321/531441, 658449/117649
16/83, 67/51, 434571/571787, 707243/132651
16/85, 69/53, 472813/614125, 758285/148877
16/87, 71/55, 513095/658503, 811623/166375
16/89, 73/57, 555465/704969, 867305/185193
16/91, 75/59, 599971/753571, 925379/205379
16/93, 77/61, 646661/804357, 985893/226981
16/95, 79/63, 695583/857375, 1048895/250047
16/97, 81/65, 746785/912673, 1114433/274625
16/99, 83/67, 800315/970299, 1182555/300763
16/101, 85/69, 856221/1030301, 1253309/328509
16/103, 87/71, 914551/1092727, 1326743/357911
16/105, 89/73, 975353/1157625, 1402905/389017
16/107, 91/75, 1038675/1225043, 1481843/421875
16/109, 93/77, 1104565/1295029, 1563605/456533
16/111, 95/79, 1173071/1367631, 1648239/493039
16/113, 97/81, 1244241/1442897, 1735793/531441
16/115, 99/83, 1318123/1520875, 1826315/571787
16/117, 101/85, 1394765/1601613, 1919853/614125
16/119, 103/87, 1474215/1685159, 2016455/658503
16/121, 105/89, 1556521/1771561, 2116169/704969
16/123, 107/91, 1641731/1860867, 2219043/753571
16/125, 109/93, 1729893/1953125, 2325125/804357
16/127, 111/95, 1821055/2048383, 2434463/857375
16/129, 113/97, 1915265/2146689, 2547105/912673
16/131, 115/99, 2012571/2248091, 2663099/970299
16/133, 117/101, 2113021/2352637, 2782493/1030301
16/135, 119/103, 2216663/2460375, 2905335/1092727
16/137, 121/105, 2323545/2571353, 3031673/1157625
16/139, 123/107, 2433715/2685619, 3161555/1225043
16/141, 125/109, 2547221/2803221, 3295029/1295029
16/143, 127/111, 2664111/2924207, 3432143/1367631
16/145, 129/113, 2784433/3048625, 3572945/1442897
16/147, 131/115, 2908235/3176523, 3717483/1520875
16/149, 133/117, 3035565/3307949, 3865805/1601613
16/151, 135/119, 3166471/3442951, 4017959/1685159
16/153, 137/121, 3301001/3581577, 4173993/1771561
16/155, 139/123, 3439203/3723875, 4333955/1860867
16/157, 141/125, 3581125/3869893, 4497893/1953125
16/159, 143/127, 3726815/4019679, 4665855/2048383
16/161, 145/129, 3876321/4173281, 4837889/2146689
16/163, 147/131, 4029691/4330747, 5014043/2248091
16/165, 149/133, 4186973/4492125, 5194365/2352637
16/167, 151/135, 4348215/4657463, 5378903/2460375
16/169, 153/137, 4513465/4826809, 5567705/2571353
16/171, 155/139, 4682771/5000211, 5760819/2685619
16/173, 157/141, 4856181/5177717, 5958293/2803221
16/175, 159/143, 5033743/5359375, 6160175/2924207
16/177, 161/145, 5215505/5545233, 6366513/3048625
16/179, 163/147, 5401515/5735339, 6577355/3176523
16/181, 165/149, 5591821/5929741, 6792749/3307949
16/183, 167/151, 5786471/6128487, 7012743/3442951
16/185, 169/153, 5985513/6331625, 7237385/3581577
16/187, 171/155, 6188995/6539203, 7466723/3723875
16/189, 173/157, 6396965/6751269, 7700805/3869893
16/191, 175/159, 6609471/6967871, 7939679/4019679
16/193, 177/161, 6826561/7189057, 8183393/4173281
16/195, 179/163, 7048283/7414875, 8431995/4330747
16/197, 181/165, 7274685/7645373, 8685533/4492125
16/199, 183/167, 7505815/7880599, 8944055/4657463
17/3, 71/169, 32395/27, 874665/4826809
17/3, 98/27, 32395/27, 5474755/19683
17/5, 37/45, 27869/125, 3509/91125
17/5, 157/145, 27869/125, 5414929/3048625
17/8, 53/65, 2665/64, 4961/274625
17/8, 109/13, 2665/64, 9126805/2197
17/9, 41/32, 19225/729, 19225/4096
17/22, 113/150, -114/1331, -50578/421875
17/35, 18, 1259/42875, 44065
17/36, 19/2, 341/5832, 6138
17/36, 19/22, 341/5832, 248/1331
17/36, 81/100, 341/5832, 341/125000
17/37, 20/3, 4413/50653, 54427/27
17/38, 21/4, 790/6859, 7505/8
17/39, 22/5, 8455/59319, 65949/125
17/40, 23/6, 1353/8000, 9020/27
17/40, 97/98, 1353/8000, 108240/117649
17/40, 167/88, 1353/8000, 2288415/85184
17/41, 24/7, 13433/68921, 78679/343
17/42, 25/8, 2036/9261, 10689/64
17/43, 26/9, 19395/79507, 92665/729
17/44, 27/10, 2845/10648, 12518/125
17/45, 28/11, 26389/91125, 107955/1331
17/46, 29/12, 3786/12167, 14513/216
17/47, 30/13, 34463/103823, 124597/2197
17/48, 31/14, 4865/13824, 16680/343
17/49, 32/15, 43665/117649, 142639/3375
17/49, 157/98, 43665/117649, 1571940/117649
17/50, 33/16, 6088/15625, 19025/512
17/52, 35/18, 7461/17576, 21554/729
17/53, 36/19, 65645/148877, 183115/6859
17/54, 37/20, 8990/19683, 24273/1000
17/55, 38/21, 78519/166375, 205645/9261
17/56, 39/22, 10681/21952, 27188/1331
17/57, 40/23, 92713/185193, 229767/12167
17/58, 41/24, 12540/24389, 30305/1728
17/59, 26/61, 108275/205379, 37701/226981
17/59, 35/9, 108275/205379, 255529/729
17/59, 42/25, 108275/205379, 255529/15625
17/59, 135/142, 108275/205379, 230336/357911
17/60, 43/26, 14573/27000, 33630/2197
17/61, 44/27, 125253/226981, 282979/19683
17/62, 45/28, 16786/29791, 37169/2744
17/63, 46/29, 143695/250047, 312165/24389
17/64, 47/30, 19185/32768, 40928/3375
17/65, 48/31, 163649/274625, 343135/29791
17/66, 49/32, 21776/35937, 44913/4096
17/67, 50/33, 185163/300763, 375937/35937
17/69, 52/35, 208285/328509, 410619/42875
17/70, 53/36, 27558/42875, 53585/5832
17/71, 54/37, 233063/357911, 447229/50653
17/72, 55/38, 30761/46656, 58284/6859
17/73, 56/39, 259545/389017, 485815/59319
17/74, 57/40, 34180/50653, 63233/8000
17/75, 58/41, 287779/421875, 526425/68921
17/76, 59/42, 37821/54872, 68438/9261
17/77, 60/43, 317813/456533, 569107/79507
17/78, 61/44, 41690/59319, 73905/10648
17/79, 62/45, 349695/493039, 613909/91125
17/80, 63/46, 45793/64000, 79640/12167
17/81, 64/47, 383473/531441, 660879/103823
17/82, 65/48, 50136/68921, 85649/13824
17/83, 66/49, 419195/571787, 710065/117649
17/84, 67/50, 54725/74088, 91938/15625
17/86, 69/52, 59566/79507, 98513/17576
17/87, 70/53, 496663/658503, 815277/148877
17/88, 71/54, 64665/85184, 105380/19683
17/89, 72/55, 538505/704969, 871399/166375
17/90, 73/56, 70028/91125, 112545/21952
17/91, 74/57, 582483/753571, 929929/185193
17/92, 75/58, 75661/97336, 120014/24389
17/93, 76/59, 628645/804357, 990915/205379
17/94, 77/60, 81570/103823, 127793/27000
17/95, 78/61, 677039/857375, 1054405/226981
17/96, 79/62, 87761/110592, 135888/29791
17/97, 80/63, 727713/912673, 1120447/250047
17/98, 81/64, 94240/117649, 144305/32768
17/99, 82/65, 780715/970299, 1189089/274625
17/100, 83/66, 101013/125000, 153050/35937
17/101, 84/67, 836093/1030301, 1260379/300763
17/103, 86/69, 893895/1092727, 1334365/328509
17/104, 87/70, 115465/140608, 171548/42875
17/105, 88/71, 954169/1157625, 1411095/357911
17/106, 89/72, 123156/148877, 181313/46656
17/107, 90/73, 1016963/1225043, 1490617/389017
17/108, 91/74, 131165/157464, 191430/50653
17/109, 92/75, 1082325/1295029, 1572979/421875
17/110, 93/76, 139498/166375, 201905/54872
17/111, 94/77, 1150303/1367631, 1658229/456533
17/112, 95/78, 148161/175616, 212744/59319
17/113, 96/79, 1220945/1442897, 1746415/493039
17/114, 97/80, 157160/185193, 223953/64000
17/115, 21/19, 1294299/1520875, 13915/6859
17/115, 39/46, 1294299/1520875, 1520/12167
17/115, 98/81, 1294299/1520875, 1837585/531441
17/116, 99/82, 166501/195112, 235538/68921
17/117, 100/83, 1370413/1601613, 1931787/571787
17/118, 101/84, 176190/205379, 247505/74088
17/120, 103/86, 186233/216000, 259860/79507
17/121, 104/87, 1531113/1771561, 2129479/658503
17/122, 105/88, 196636/226981, 272609/85184
17/123, 106/89, 1615795/1860867, 2233065/704969
17/124, 107/90, 207405/238328, 285758/91125
17/125, 108/91, 1703429/1953125, 2339875/753571
17/126, 109/92, 218546/250047, 299313/97336
17/127, 110/93, 1794063/2048383, 2449957/804357
17/128, 111/94, 230065/262144, 313280/103823
17/129, 112/95, 1887745/2146689, 2563359/857375
17/130, 113/96, 241968/274625, 327665/110592
17/131, 114/97, 1984523/2248091, 2680129/912673
17/132, 115/98, 254261/287496, 342474/117649
17/133, 116/99, 2084445/2352637, 2800315/970299
17/134, 117/100, 266950/300763, 357713/125000
17/135, 118/101, 2187559/2460375, 2923965/1030301
17/137, 120/103, 2293913/2571353, 3051127/1092727
17/138, 121/104, 293540/328509, 389505/140608
17/139, 122/105, 2403555/2685619, 3181849/1157625
17/140, 123/106, 307453/343000, 406070/148877
17/141, 124/107, 2516533/2803221, 3316179/1225043
17/142, 125/108, 321786/357911, 423089/157464
17/143, 126/109, 2632895/2924207, 3454165/1295029
17/144, 69/196, 336545/373248, 336545/941192
17/144, 127/58, 336545/373248, 1137290/24389
17/144, 127/110, 336545/373248, 440568/166375
17/145, 128/111, 2752689/3048625, 3595855/1367631
17/146, 129/112, 351736/389017, 458513/175616
17/147, 130/113, 2875963/3176523, 3741297/1442897
17/148, 131/114, 367365/405224, 476930/185193
17/149, 132/115, 3002765/3307949, 3890539/1520875
17/150, 133/116, 383438/421875, 495825/195112
17/151, 134/117, 3133143/3442951, 4043629/1601613
17/152, 135/118, 399961/438976, 515204/205379
17/154, 137/120, 416940/456533, 535073/216000
17/155, 138/121, 3404819/3723875, 4361545/1771561
17/156, 139/122, 434381/474552, 555438/226981
17/157, 140/123, 3546213/3869893, 4526467/1860867
17/158, 141/124, 452290/493039, 576305/238328
17/159, 142/125, 3691375/4019679, 4695429/1953125
17/160, 143/126, 470673/512000, 597680/250047
17/161, 144/127, 3840353/4173281, 4868479/2048383
17/162, 145/128, 489536/531441, 619569/262144
17/163, 146/129, 3993195/4330747, 5045665/2146689
17/164, 147/130, 508885/551368, 641978/274625
17/165, 148/131, 4149949/4492125, 5227035/2248091
17/166, 149/132, 528726/571787, 664913/287496
17/167, 150/133, 4310663/4657463, 5412637/2352637
17/168, 151/134, 549065/592704, 688380/300763
17/169, 152/135, 4475385/4826809, 5602519/2460375
17/171, 154/137, 4644163/5000211, 5796729/2571353
17/172, 155/138, 591261/636056, 736934/328509
17/173, 156/139, 4817045/5177717, 5995315/2685619
17/174, 157/140, 613130/658503, 762033/343000
17/175, 158/141, 4994079/5359375, 6198325/2803221
17/176, 159/142, 635521/681472, 787688/357911
17/177, 160/143, 5175313/5545233, 6405807/2924207
17/178, 161/144, 658440/704969, 813905/373248
17/179, 162/145, 5360795/5735339, 6617809/3048625
17/180, 163/146, 681893/729000, 840690/389017
17/181, 164/147, 5550573/5929741, 6834379/3176523
17/182, 165/148, 705886/753571, 868049/405224
17/183, 166/149, 5744695/6128487, 7055565/3307949
17/184, 167/150, 730425/778688, 895988/421875
17/185, 168/151, 5943209/6331625, 7281415/3442951
17/186, 169/152, 755516/804357, 924513/438976
17/188, 171/154, 781165/830584, 953630/456533
17/189, 172/155, 6353605/6751269, 7747299/3723875
17/190, 173/156, 807378/857375, 983345/474552
17/191, 174/157, 6565583/6967871, 7987429/3869893
17/192, 175/158, 834161/884736, 1013664/493039
17/193, 176/159, 6782145/7189057, 8232415/4019679
17/194, 177/160, 861520/912673, 1044593/512000
17/195, 178/161, 7003339/7414875, 8482305/4173281
17/196, 179/162, 889461/941192, 1076138/531441
17/197, 180/163, 7229213/7645373, 8737147/4330747
17/198, 181/164, 917990/970299, 1108305/551368
17/199, 182/165, 7459815/7880599, 8996989/4492125
18/11, 105/128, 19475/1331, 8569/262144
18/35, 44/81, -1189/42875, -41615/531441
18/37, 19, 1405/50653, 51985
18/37, 73/72, 1405/50653, 51985/46656
18/41, 23/5, 9305/68921, 76301/125
18/43, 25/7, 14707/79507, 90343/343
18/47, 29/11, 28655/103823, 122435/1331
18/49, 31/13, 37297/117649, 140581/2197
18/53, 35/17, 58157/148877, 181313/4913
18/55, 37/19, 70471/166375, 203995/6859
18/59, 41/23, 99107/205379, 254231/12167
18/61, 25/122, 115525/226981, 166356/226981
18/61, 43/25, 115525/226981, 281881/15625
18/61, 97/72, 115525/226981, 281881/46656
18/65, 47/29, 152801/274625, 342485/24389
18/67, 49/31, 173755/300763, 375535/29791
18/67, 63/67, 173755/300763, 173755/300763
18/67, 81/95, 173755/300763, 122543/857375
18/71, 53/35, 220535/357911, 447371/42875
18/73, 55/37, 246457/389017, 486253/50653
18/77, 59/41, 303605/456533, 570185/68921
18/79, 61/43, 334927/493039, 615331/79507
18/83, 65/47, 403307/571787, 712223/103823
